Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Levy Renaud / Central Florida,6,0,2.2,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0
0,Shizz Alston Jr. / Temple,33,33,36.8,6.3,15.5,0.405,3.3,6.9,0.474,3,8.6,0.35,4.2,4.6,0.908,0.5,2.2,2.8,5,1.5,0.2,2.5,1.9,19.7
0,Quinton Rose / Temple,33,33,34.6,6.2,15.2,0.408,4.9,10.6,0.464,1.2,4.5,0.275,2.7,3.9,0.685,0.5,3.3,3.8,2.5,2.2,0.2,2.5,2,16.3
0,Nate Pierre-Louis / Temple,33,33,34.3,4.6,10.1,0.459,3.8,7.5,0.51,0.8,2.5,0.31,3.2,4.8,0.667,1.3,4.5,5.8,2.1,1.6,0.3,1.7,2.3,13.3
1,J.P. Moorman / Temple,33,10,23.2,2.1,4.8,0.446,1.1,2.2,0.486,1,2.5,0.41,0.6,0.9,0.69,1,3.2,4.2,1.7,0.7,0.3,0.6,2.5,5.9
1,Ernest Aflakpui / Temple,30,27,21.7,2.4,4,0.597,2.4,4,0.597,0,0,0,1.2,2,0.6,2.6,4.5,7.1,0.4,0.6,0.4,1.1,3,5.9
1,De'Vondre Perry / Temple,33,20,19.5,1.3,3.6,0.367,0.7,1.5,0.48,0.6,2.1,0.286,0.8,1.1,0.757,0.7,2.5,3.2,1,0.9,0.4,1,2.3,4.1
0,Alani Moore / Temple,32,0,15.2,1.3,3.6,0.36,0.5,1.3,0.39,0.8,2.3,0.342,0.8,1,0.781,0.3,0.8,1.1,1.2,0.7,0,0.8,1.2,4.1
1,Justyn Hamilton / Temple,28,4,12.8,1.8,3.2,0.562,1.8,3.1,0.57,0,0.1,0.333,0.5,1,0.517,1,1.1,2,0.3,0.4,0.3,0.5,2,4.1
1,Damion Moore / Temple,26,5,10.3,1.2,1.9,0.633,1.2,1.9,0.633,0,0,0,0.5,0.7,0.684,1.1,1.3,2.4,0.3,0.3,0.4,0.3,1.2,2.9
0,Quentin Jackson / Temple,10,0,3.5,0.2,0.6,0.333,0.1,0.3,0.333,0.1,0.3,0.333,0,0,0,0,0.1,0.1,0,0,0.1,0.2,0.2,0.5
1,Tim Waddington / Temple,3,0,0.7,0,0,0,0,0,0,0,0,0,0.7,0.7,1,0,0,0,0,0,0,0,0,0.7
0,Anto Keshgegian / Temple,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Jasen West / Temple,3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
0,Jeremiah Martin / Memphis,36,36,34.2,6.1,13.6,0.451,4.3,8.3,0.519,1.8,5.3,0.346,5.6,7.4,0.762,1.1,3.2,4.3,4.4,2.2,0.6,2.6,1.9,19.7
