Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wyatt Battaile,louisville,7,0,1.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.0,0.0
Tyus Battle,syracuse,32,32,36.3,5.9,13.6,.431,4.6,9.5,.479,1.3,4.1,.321,4.1,5.4,.763,0.7,2.6,3.3,2.5,1.2,0.3,1.8,2.1,17.2
Elijah Hughes,syracuse,34,34,32.7,4.6,10.9,.420,2.0,3.9,.511,2.6,6.9,.369,2.0,2.7,.742,0.7,3.6,4.3,1.5,1.2,0.8,1.9,2.1,13.7
Oshae Brissett,syracuse,34,34,33.0,4.3,11.0,.393,3.4,7.7,.445,0.9,3.3,.270,2.9,4.4,.660,2.2,5.3,7.5,1.8,1.0,0.8,2.0,2.1,12.4
Frank Howard,syracuse,29,28,26.9,3.0,8.3,.364,1.3,3.1,.407,1.8,5.2,.338,1.1,1.4,.775,0.3,1.6,2.0,2.9,1.5,0.1,2.0,2.2,8.9
Buddy Boeheim,syracuse,32,5,17.1,2.3,5.9,.381,0.8,1.8,.446,1.5,4.2,.353,0.8,1.0,.788,0.6,1.1,1.6,1.0,0.6,0.1,0.8,1.2,6.8
Paschal Chukwu,syracuse,33,28,20.1,1.5,2.1,.721,1.5,2.1,.721,0.0,0.0,,1.4,2.2,.639,2.5,2.9,5.4,0.2,0.7,1.7,0.9,3.0,4.4
Marek Dolezaj,syracuse,34,6,21.6,1.5,2.7,.559,1.2,1.9,.641,0.3,0.9,.379,0.8,1.3,.591,1.1,2.4,3.5,1.6,1.3,0.5,1.1,2.8,4.1
Jalen Carey,syracuse,25,2,12.2,1.2,3.0,.392,1.0,2.0,.490,0.2,0.9,.174,1.0,1.6,.625,0.2,1.3,1.6,1.0,0.6,0.2,1.6,0.5,3.5
Robert Braswell,syracuse,12,0,4.6,0.7,1.0,.667,0.6,0.8,.700,0.1,0.2,.500,0.8,1.0,.750,0.2,0.7,0.8,0.4,0.5,0.1,0.6,0.2,2.2
